holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,hour_sin,hour_cos,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,temp_celsius,is_severe_weather,temp_scaled,rain_scaled,congestion_level,traffic_lag_1h,traffic_rolling_mean_3h
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12,1,0,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,False,False,False,16.980000000000018,0,0.6978394075575564,-0.12989926558338968,High,4767.0,4942.666666666667
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13,1,0,-0.2588190451025208,-0.9659258262890683,True,False,False,False,False,False,False,False,False,False,17.99000000000001,0,0.7773032076062867,-0.12989926558338968,High,5026.0,4769.666666666667
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14,1,0,-0.4999999999999997,-0.8660254037844388,False,False,False,False,False,False,False,False,False,False,18.57000000000005,0,0.8229358848619968,-0.12989926558338968,High,4918.0,4903.666666666667
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15,1,0,-0.7071067811865471,-0.7071067811865479,False,False,False,False,False,False,False,False,False,False,20.02000000000004,0,0.9370175780012633,-0.12989926558338968,High,5181.0,5041.666666666667
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16,1,0,-0.8660254037844385,-0.5000000000000004,False,False,False,False,False,False,False,False,False,False,20.710000000000036,0,0.991304728529604,-0.12989926558338968,High,5584.0,5227.666666666667
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17,1,0,-0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,False,False,False,20.99000000000001,0,1.0133342968599433,-0.12989926558338968,High,6015.0,5593.333333333333
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18,1,0,-1.0,-1.8369701987210297e-16,True,False,False,False,False,False,False,False,False,False,19.950000000000045,0,0.9315101859186785,-0.12989926558338968,High,5791.0,5796.666666666667
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,19,1,0,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,False,False,False,False,False,17.82000000000005,0,0.7639281125485826,-0.12989926558338968,Medium,4770.0,5525.333333333333
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,20,1,0,-0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,False,16.230000000000018,0,0.6388316352441422,-0.12989926558338968,Medium,3539.0,4700.0
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,21,1,0,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False,15.460000000000036,0,0.5782503223357051,-0.12989926558338968,Medium,2784.0,3697.6666666666665
